公司,date,code,TEJ子產業_名稱,Q資產報酬率 (C),Q資產報酬率(A)%,Q資產報酬率(B)%,Q淨值報酬率─稅後,Q淨值報酬率─常續性利益,Q營業毛利率,Q已實現銷貨毛利率,Q營業利益率,Q稅前淨利率,Q稅後淨利率,Q業外收支率,Q常續利益率(稅後),Q員工人數,Q營業費用率,Q現金流量比率,Q有息負債利率,Q稅率 (A)%,Q每股淨值 (B),Q每股淨值 (A),Q每股淨值 (C),Q常續性EPS,Q每股現金流量,Q每股營業額(元),Q每股營業利益(元),Q每股稅前淨利(元),Q每股淨值(F),Q營收成長率,Q毛利成長率,Q已實現銷貨毛利成長率,Q營業利益成長率,Q稅前淨利成長率,Q稅後淨利成長率,Q經常淨利成長率,Q常續性利益成長率(稅後),Q總資產成長率,Q淨值成長率,Q總資產報酬成長率,Q營收變動率,Q營業利益變動率,Q稅後淨利變動率(單季),Q流動比率,Q速動比率,Q利息支出率,Q總負債/總淨值比,Q負債比率,Q淨值 /總資產,Q借款依存度,Q營業利益占實收資本比,Q稅前純益 /實收資本,Q總資產週轉率(次),Q應收帳款週轉率(次),Q應收帳款收現天數,Q存貨週轉率 (次),Q平均售貨天數,Q固定資產週轉率 (次),Q淨值週轉率 (次),Q應付帳款付現天數,Q淨營業週期 (日),Q每人營收,Q每人營業利益,Q每人配備率,Q當季季底股價淨值比,Q當季季底 PSR,季底普通股市值,return
2514 龍邦,2012-09-28,2514,建設,-0.56,0.13,-0.61,3.99,-19.75,-7.970000000000001,-7.970000000000001,-11.81,3.4299999999999997,2.61,15.229999999999999,-12.9,6391,3.84,116.84,0.19,23.92,12.48,12.48,12.48,-13.66,19.27,39.02,-4.61,1.38,12.48,9.66,-127.2,-127.2,-147.16,616.4,182.17,624.52,-151.41,15.81,61.47,0.17,-10.52,-830.72,683.3199999999999,1622.43,1543.85,3.3,2694.62,96.42,3.58,61.59,-42.87,12.44,0.05,20.16,4.51,543.1800000000001,0.17,1.95,1.53,0.18,4.5,3171,-374,1626.95,0.74,0.13,10799080,0.04425770308123244
2520 冠德,2012-09-28,2520,建設,0.64,0.48,0.55,1.12,1.15,14.75,14.75,6.49,5.1499999999999995,4.5,-1.34,4.6,620,8.26,-13.89,0.57,12.64,20.51,20.51,20.51,1.75,-5.6,5.9,0.38,0.31,20.51,20.779999999999998,-22.95,-22.95,-26.73,-23.64,-81.45,-27.87,-35.3,31.5,4.84,-0.17,-10.02,-29.06,-2.18,155.96,15.860000000000001,52.93,228.67,69.57,30.43,176.99,3.7600000000000002,2.9899999999999998,0.08,2.84,32.06,0.1,895.16,0.4,0.25,114.72,812.51,4664,303,12023.55,0.89,0.73,10348482,0.5641025641025642
2524 京城,2012-09-28,2524,建設,1.34,1.38,1.31,3.26,3.09,40.37,40.37,32.47,32.190000000000005,89.93,-0.27,30.14,45,7.9,-0.08,0.58,1.15,19.93,19.93,19.93,2.06,-0.02,2.01,0.65,0.65,19.93,111.56,138.39000000000001,138.39000000000001,206.16,300.14000000000004,1.8800000000000001,294.06,83.11,38.18,9.81,1.04,1.87,-13.92,54.760000000000005,215.72,3.7,17.37,152.22,60.35,39.65,126.23,6.52,6.470000000000001,0.04,50.04,1.82,0.03,3589.9100000000003,5.59,0.1,271.22999999999996,3320.5,16789,5451,3009.51,1.56,4.33,11653706,0.10072769054002294
2527 宏璟,2012-09-28,2527,建設,0.4,0.27,0.36,0.34,0.34,34.839999999999996,34.839999999999996,-65.58,42.41,41.36,107.99000000000001,41.449999999999996,121,100.42,-30.130000000000003,0.54,2.48,19.66,19.66,19.66,0.49,-3.93,0.17,-0.11,0.07,19.66,4.5,48.53,48.53,22.08,133.02,-96.7,128.28,102.24000000000001,15.13,-3.25,0.05,-97.01,-111.25,-90.09,204.10999999999999,4.85,87.59,108.01,51.92,48.08,96.82,-1.09,0.71,0,1.1400000000000001,79.63,0,18741.780000000002,0.06,0.01,1425.04,17396.37,372,-244,6678,0.68,2.29,3784284,0.16856492027334857
2530 華建,2012-09-28,2530,建設,-0.01,-0.06,-0.09,-0.29,-0.36,31.88,31.88,-4.5,-8.639999999999999,-17.03,-4.14,-21.29,38,36.37,-2.8299999999999996,0.61,0,12.16,12.16,12.16,-0.23,-0.23,0.21,-0.01,-0.02,12.16,47.89,207.85000000000002,207.85000000000002,77.03,83.66999999999999,67.86,67.86,-23.56,2.19,-1.82,0.29,22.12,18.99,-9.65,332.31,9.17,-485.01,119.99000000000001,54.54,45.46,113.84,-0.09,-0.18,0.01,32.11,2.8299999999999996,0.01,15890.69,0.8400000000000001,0.02,38.160000000000004,15855.369999999999,1471,-66,1746.42,0.82,10.2,2685860,0.13269493844049246
2534 宏盛,2012-09-28,2534,建設,0,-0.05,-0.04,-0.35,-0.35,60.06,60.06,-321.96999999999997,-503.58,-547.6800000000001,-181.60999999999999,-547.6800000000001,40,382.03,-7.14,0.5,0,17.979999999999997,17.979999999999997,17.979999999999997,-0.31,-0.94,0.01,-0.04,-0.06,17.98,-96.56,-95.88,-95.88,-135.85000000000002,-160.02,-143.10999999999999,-168.14,-168.14,-2.22,1.33,-0.41,-71.02,14.8,-109.51,238.72,2.8,-476.11,102.07,50.51,49.49,99.47,-0.37,-0.58,0,2.98,30.58,0,608978.9500000001,0.01,0,4320.83,604688.7,169,-544,33380.43,0.94,84.59,9985092,0.3579027355623101
2536 宏普,2012-09-28,2536,建設,1.94,1.93,1.93,3.86,3.83,42.09,42.09,36.21,33.68,33.68,-2.52,33.48,55,5.89,13.03,0.46,0,32.290000000000006,32.290000000000006,32.290000000000006,4.42,3.93,3.63,1.31,1.22,32.29,52.42,66.64,66.64,71.09,67.98,67.98,67.98,64.95,10.68,10.03,0.74,13.33,26.23,30.67,201.99,4.94,8.97,102.93,50.72,49.28,73.64,13.129999999999999,12.209999999999999,0.05,10.739999999999998,8.47,0.04,2518.58,6.53,0.11,30.650000000000002,2496.4,21040,7618,3214.07,0.91,2.16,9414453,0.19193548387096773
2537 聯上發,2012-09-28,2537,建設,0.31,0.27,0.29,0.7,0.77,32.58,32.58,11.1,6.18,6.18,-4.91,6.78,19,21.49,-16.959999999999997,0.61,0,10.5,10.5,10.5,1.47,-5.13,1,0.11,0.07,10.4,-56.98,-65.84,-65.84,-85.36999999999999,-91.75,-92.24000000000001,-91.75,-90.59,68.2,24.77,-2.05,-44.949999999999996,-76.53,-85.52,146.68,1.6400000000000001,79.86999999999999,337.1,77.12,22.88,172.92000000000002,1.28,0.72,0.03,17.810000000000002,5.109999999999999,0.02,4058.44,137.66,0.11,70.84,3992.71,7517,834,56.32,1.74,2.65,2230232,0.2952710495963092
2538 基泰,2012-09-28,2538,建設,1.75,1.74,1.75,3.42,3.42,52.52,52.52,38.89,38,89.36999999999999,-0.89,37.98,20,13.629999999999999,-0.24000000000000002,0.52,0,15.09,15.09,15.09,1.34,-0.04,1.34,0.52,0.51,15.09,-42.53,18.87,18.87,19.419999999999998,-32.21,-16.45,-32.21,11.68,11.12,-0.45,-0.88,9.04,44.75,73.96000000000001,189.08,9.66,4.78,101.19,50.3,49.7,40.56,5.2,5.08,0.05,13.26,6.87,0.03,3627.9900000000002,4.13,0.09,88.46000000000001,3546.3900000000003,26510,10309,6416.5,1.17,4.88,7020156,0.13749999999999998
2539 櫻花建,2012-09-28,2539,建設,2.83,2.82,2.83,5.02,5.02,29.03,29.03,21.310000000000002,21.459999999999997,21.459999999999997,0.15000000000000002,21.47,25,7.72,-18.259999999999998,0.48,0,12.360000000000001,12.360000000000001,12.360000000000001,1.28,-1.24,2.82,0.6,0.6,12.36,-26.479999999999997,-29.64,-29.64,-31.68,-31,-31,-31,-31,4.42,10.5,-1.3,66246.67000000001,1405.6399999999999,1585.1299999999999,313.08,37.14,5.9,77.84,43.77,56.23,55.53,6,6.05,0.13,7.33,12.42,0.11,804.1,4.7700000000000005,0.23,57.879999999999995,758.64,18653,3976,3920,1.61,3.33,3302802,0.11201079622132254
2540 愛山林,2012-09-28,2540,建設,-1.15,-1.29,-1.22,-10.07,-10.07,46.339999999999996,46.339999999999996,-1606.1,-2019.51,-6706.1,-413.40999999999997,-2019.51,8,1652.44,-2.55,0.5,0,4.159999999999999,4.159999999999999,4.159999999999999,-2.17,-0.46,0.02,-0.38,-0.47,4.16,-97.56,-89.81,-89.81,-7.119999999999999,-11.97,0.92,-11.97,7.54,-13.01,-37.82,-0.2,-94.3,-2.53,-43.09,69.01,57.230000000000004,-23.57,600.64,85.73,14.27,422.46999999999997,-3.7600000000000002,-4.73,0,0,0,0.11,858.3,1.01,0,231.12,627.1800000000001,20,-329,22.630000000000003,1.4,12.94,41790,-0.03209459459459451
2542 興富發,2012-09-28,2542,建設,1.59,1.54,1.55,5.6,5.61,38.77,38.77,25.89,24.01,67.45,-1.8800000000000001,23.77,589,12.88,-1.53,0.63,1.17,33.06,33.06,33.06,6.85,-1.44,8.82,2.29,1.8,33.48,11.65,10.2,10.2,4.33,9.6,-37.120000000000005,8.89,5.83,31.37,8.28,0.13,4.6499999999999995,6.319999999999999,54.28,132.58,6.6499999999999995,19.830000000000002,304.19,75.26,24.74,216.4,22.85,21.19,0.06,6.619999999999999,13.75,0.04,2089.48,4.51,0.24,105.77,1997.46,8963,2321,1998.08,1.65,1.76,36832598,0.22952646239554325
2545 皇翔,2012-09-28,2545,建設,3.75,3.58,3.52,13.45,13.1,60.52,60.52,51.55,53.309999999999995,50.59,1.76,49.27,127,8.98,8.55,0.63,5.09,33.75,33.75,33.75,13.61,7.78,8.42,4.34,4.49,33.75,532.4499999999999,760.4,760.4,1250.44,1631.92,10.33,1531.53,2185.2,28.55,46.43,3.74,-46.53,-43.06,-39.760000000000005,127.24000000000001,9.02,10.6,272.89,73.18,26.82,230.01,43.4,44.879999999999995,0.07,9.34,9.739999999999998,0.03,2826.58,17.01,0.27,107.31,2729.02,21725,11199,1280.96,2.31,2.57,25530479,0.12437357630979501
2547 日勝生,2012-09-28,2547,建設,0.28,0.07,0.2,-0.42,-0.45,75.21000000000001,75.21000000000001,0.8300000000000001,-12.88,-16.04,-13.709999999999999,-17.259999999999998,959,74.38,6.05,0.97,0,23.19,23.19,23.19,0.36,2.79,0.61,0.01,-0.08,23.19,-77.33,-63.24,-63.24,-99.28,-113.33,-103.34,-117.91000000000001,-119.14,49.25,9.33,-0.7,-63.41,-98.17999999999999,-141.35000000000002,156.29,9.32,633.3299999999999,294.12,74.63,25.37,220.75,0.05,-0.7799999999999999,0.01,3.13,29.07,0,31972.629999999997,0.03,0.03,1402.84,30598.86,511,4,17202.480000000003,0.87,3.32,16484579,0.5103021978021977
2548 華固,2012-09-28,2548,建設,0.23,0.18,0.19,0.42,0.41,43.68,43.68,20.06,10.629999999999999,55.78,-9.43,8.76,140,23.610000000000003,4.79,0.7,16.33,38.449999999999996,38.449999999999996,38.449999999999996,3.05,3.12,1.83,0.37,0.19,38.45,-76.05,-73.53,-73.53,-84.93,-91.99000000000001,-87.44000000000001,-92.9,-93.16,16.24,-5.970000000000001,-2.07,-34.43,-38,18.979999999999997,166.28,6.45,143.39000000000001,184.49,64.85,35.15,127.14,3.68,1.95,0.02,51.1,1.78,0.01,8835.92,32.879999999999995,0.05,243.66,8594.04,3624,727,108.28,1.81,5.36,19598290,0.27594041908608935
3052 夆典,2012-09-28,3052,建設,0.45,0.43,0.48,1.28,1.23,11.09,11.09,3.94,3.59,22.43,-0.33999999999999997,4.119999999999999,330,7.1499999999999995,-1.7,1.28,0,12.860000000000001,12.860000000000001,12.860000000000001,1.22,-0.56,4.14,0.16,0.15,12.86,-54.339999999999996,-52.760000000000005,-52.760000000000005,-69.77,-73.35,21.279999999999998,-66.78,-68.11,6.65,3.07,-0.71,-29.62,-37.620000000000005,23.59,134.97,10.94,137.45000000000002,242.31,70.79,29.21,167.56,1.43,1.31,0.09,1.72,53.03,0.1,875.9599999999999,3.13,0.3,92.41000000000001,836.58,2139,84,683.41,0.85,0.42,2027049,0.15206611570247933
3056 總太,2012-09-28,3056,建設,2.31,2.05,2.06,5.63,5.63,47.44,47.44,38.949999999999996,38.949999999999996,82.86999999999999,0,34.71,115,8.48,1.09,0.82,10.89,16.52,16.52,16.52,4.4,0.32,2.59,1.01,1.02,16.52,-67.05,-16.14,-16.14,-12.15,-14.56,81.99000000000001,-23.37,-23.37,120.83,70.19,-0.64,-21.650000000000002,5.53,72.08,155.06,16.74,8.79,177.3,63.94,36.06,80.53,10.1,10.1,0.06,6,15.18,0.04,2346.3900000000003,45.18,0.16,146.06,2215.5,3011,1173,63.03,1.5,1.43,3311718,0.17250213492741243
5522 遠雄,2012-09-28,5522,建設,2.12,1.89,1.9,4.15,4.15,42.68,42.68,35.37,34.160000000000004,30.72,-1.22,30.7,320,7.31,3.86,0.66,10.05,41.64,41.64,41.64,7.29,2.02,5.61,1.99,1.92,41.64,6.45,6.35,6.35,6.46,-5.319999999999999,-70.13,-4.13,-4.07,20.41,6.46,-0.05,-27.89,-28.779999999999998,-20.02,167.05,7.1499999999999995,9.7,132.73999999999998,57.03,42.97,74.23,19.86,19.17,0.06,9.7,9.39,0.05,1948.34,0.91,0.14,140.05,1817.6799999999998,13533,4787,16467.91,1.29,2.14,42274528,0.10743550834597872
5525 順天,2012-09-28,5525,建設,1.62,1.55,1.56,4.18,4.18,30.419999999999998,30.419999999999998,21.919999999999998,20.82,33.160000000000004,-1.09,20.23,97,8.51,2.88,0.19,2.86,14.860000000000001,14.860000000000001,14.860000000000001,0.98,0.66,3.01,0.66,0.63,14.86,19.32,90.61,90.61,121.66,120.75,143.2,115.94000000000001,115.94000000000001,8.38,3.9299999999999997,0.85,-12.739999999999998,5.930000000000001,156.44,155.59,1.96,5.74,172.81,63.34,36.66,125.14,6.37,6.05,0.07,25.830000000000002,3.52,0.07,1395.52,0.64,0.21,46.89,1352.1499999999999,7008,1536,10984.03,1.2,2.33,4022805,0.20432043204320446
5531 鄉林,2012-09-28,5531,建設,0.55,0.52,0.53,1.21,1.21,54.67,54.67,25.979999999999997,26.53,59.94,0.55,26.52,253,28.69,-11.06,0.75,0.05,13.129999999999999,13.129999999999999,13.129999999999999,0.7,-2.49,0.65,0.17,0.17,13.13,-47.03,-21.29,-21.29,1.3,7.67,-72.66999999999999,49.3,49.3,13.95,14.129999999999999,0.22,53.65,929.38,79.35,169.45000000000002,8.360000000000001,70.39,176.95000000000002,63.89,36.11,149.26,1.6900000000000002,1.73,0.02,16.24,5.6,0.01,9769.53,6.84,0.05,259.35,9515.77,1444,375,210.20999999999998,1.65,5.99,13237712,0.08387622149837143
5533 皇鼎,2012-09-28,5533,建設,5.06,4.81,4.87,9.36,9.34,33.690000000000005,33.690000000000005,27.97,27.8,37.06,-0.17,26.8,153,5.72,34.54,0.53,3.39,21.91,21.91,21.91,3.18,4.98,7.3,2.04,2.03,21.91,417.96,321.01,321.01,397.88,397.19,10.860000000000001,439.39,439.78,0.31,14.27,3.93,79.14999999999999,167.66,263.3,220.22,30.64,5.02,85.86,46.2,53.8,73.04,20.4,20.279999999999998,0.18,1203.3899999999999,0.08,0.17,530.7700000000001,0.9400000000000001,0.35,18.130000000000003,512.72,10823,3027,11623.09,0.84,1.24,4176469,0.18344155844155843
5534 長虹,2012-09-28,5534,建設,13.85,13.35,13.34,28.04,28.01,65.38,65.38,63.06,63.71,61.39,0.65,61.33,79,2.3299999999999996,23.459999999999997,0.42,3.64,42.660000000000004,42.660000000000004,42.660000000000004,13.99,8.11,17.12,10.8,10.94,42.66,469.11,649.62,649.62,813.02,828.59,62.41,823.62,813.05,2.39,25.7,12.21,2575.72,4910.7,23373.29,227.38000000000002,27.97,1.1,88.76,47.02,52.98,56.349999999999994,108.04,109.16,0.22,10.57,8.61,0.09,1013.91,12.06,0.46,45.65,976.87,53782,33913,4459.38,1.69,2.82,17978260,0.44468288030519804
9906 欣巴巴,2012-09-28,9906,建設,4.42,2.73,4.07,3.43,3.43,27.56,27.56,10.850000000000001,9.44,120.52,-1.42,9.17,180,16.7,22.55,0.14,2.81,24.86,24.86,25.7,0.43000000000000005,2.16,12.67,1.38,1.24,25.7,-44.61,-8.68,-8.68,-28.03,-30.47,412.21,-9.97,-10.31,-55.38,50.67,-0.86,1695.21,250.05,8.239999999999998,220.47,206.52,0.97,27.56,21.6,78.4,5.159999999999999,13.75,11.96,0.3,2.08,43.65,8.58,10.61,0.69,0.37,49.339999999999996,4.91,2183,237,3142.2599999999998,1.36,1.06,1446e3,0.19769673704414575
9945 潤泰新,2012-09-28,9945,建設,0.81,0.68,0.73,1.18,0.97,21.82,21.82,7.970000000000001,8.38,58.42,0.4,6.6,2040,13.850000000000001,-0.33999999999999997,0.45,4.45,20.37,20.37,20.37,3.7600000000000002,-0.06,3.24,0.26,0.28,20.37,-22.759999999999998,-30.14,-30.14,-53.57,-41.160000000000004,114.8,-34.230000000000004,-48.09,13.4,66.83,-0.31,2.04,223.37,15.88,91.78,26.479999999999997,21.91,102.3,50.57,49.43,73.83,2.62,2.7600000000000002,0.07,2.02,45.14,0.3,299.92999999999995,0.6,0.15,91.05,254.02,1582,126,2716.34,2.43,4.01,54434789,0.19422492401215807
2363 矽統,2012-09-28,2363,IC設計,-0.28,-0.88,-0.38,-0.91,-0.91,47.58,47.58,-116.63,-39.54,-400.72999999999996,77.09,-39.6,585,164.20999999999998,-6.45,0,0,13.49,13.49,13.49,-1.92,-0.03,0.32,-0.37,-0.12,13.49,-43.93,-24.07,-24.07,2,-155.09,-276.84000000000003,-155.17,-156.19,-14.9,-15.6,-2.39,49.36,35.790000000000006,-10.96,747.3299999999999,685.8299999999999,0,3.7800000000000002,3.64,96.36,0,-3.62,-1.23,0.02,3.24,28.12,1.29,70.51,0.23,0.02,71.16999999999999,27.459999999999997,333,-388,1428.43,0.8,12.6,6622573,-0.07795473595976528
2379 瑞昱,2012-09-28,2379,IC設計,3.31,2.15,2.95,3.57,3.57,42.44,42.44,8.4,10.46,27.24,2.06,9.6,2658,34.04,10.06,0.33,8.16,35.51,35.51,35.51,4.01,2.33,13.03,1.1,1.37,35.51,29.62,37.01,37.01,91.92,52.349999999999994,35.120000000000005,53.05,54.41,10.13,4.26,0.72,-1.56,-21.479999999999997,54.47,193.05,160.79,1.91,65.3,39.51,60.49,19.36,10.950000000000001,13.629999999999999,0.22,1.6600000000000001,54.78,1.3800000000000001,65.98,2.1,0.37,80.39,40.379999999999995,2446,205,1162.4,1.64,1.23,28979060,0.2297811607992389
2388 威盛,2012-09-28,2388,IC設計,-5.87,-10.79,-6.15,-18.61,-11.66,29.59,29.59,-79.98,-102.93,-266.84000000000003,-22.959999999999997,-65.4,2379,109.57,-17.74,1.02,0,10.93,10.93,10.93,-7.08,-1.13,2.28,-1.82,-2.35,10.93,-14.46,-24.12,-24.12,-33.11,18.27,-13.629999999999999,22.330000000000002,-41.36,-9.52,-9.06,2.96,14.05,-2.88,-64.23,192.49,145.69,-1.04,79.35,44.24,55.76,25.39,-18.24,-23.47,0.1,3.54,25.71,0.81,111.9,0.4,0.18,87.11999999999999,50.49,473,-378,1179.71,1.85,2.3,10556684,0.4980988593155893
2401 凌陽,2012-09-28,2401,IC設計,0.91,0.35,0.71,0.42,0.15,38.99,38.99,-0.25,2.25,1.82,2.5,0.6699999999999999,2186,39.24,-20.610000000000003,0.58,19.38,15.75,15.75,15.75,-1.11,-1.06,4.19,-0.01,0.09,15.75,11.8,64.16999999999999,64.16999999999999,98.06,111.19,107.44000000000001,108.39,104.8,-2.84,-9.32,3.36,-1.02,-109.53,-50.379999999999995,322.37,248.88000000000002,20.72,42.74,29.94,70.06,22.03,-0.1,0.93,0.16,1.34,67.8,0.7899999999999999,114.52,1.33,0.23,85.55,96.76,1128,-3,853.1800000000001,0.55,0.69,5951183,0.10212765957446805
2436 偉詮電,2012-09-28,2436,IC設計,2.32,0.84,1.8,0.98,1.74,20.919999999999998,20.919999999999998,2.9699999999999998,7.71,9.65,4.74,8.92,283,17.95,11.65,0,34.97,11.1,11.1,11.1,0.28,0.18,2.13,0.06,0.16,11.1,-4.91,-9.69,-9.69,-41.2,-47.53,-50.78,-54.660000000000004,-63.5,4.14,7.1,-0.98,-0.77,-30.67,108.31,758.8599999999999,672.9399999999999,0,16.19,13.93,86.07,0,0.63,1.6400000000000001,0.17,0.92,99.34,1.61,56.64,2.15,0.19,75.07,80.91000000000001,1857,55,856.55,1.12,1.56,3085e3,0.2851365015166835
2454 聯發科,2012-09-28,2454,IC設計,3.5,2.66,3.27,3.47,3.49,41.230000000000004,41.230000000000004,14.39,17.37,36.57,2.98,16.84,6929,26.84,11.44,0.37,3.68,128.82000000000002,128.82000000000002,128.82000000000002,9.860000000000001,3.6,21.97,3.16,4.36,128.82,26.07,15.29,15.29,14.59,23.330000000000002,0.72,21.29,23.130000000000003,68.44,71.97,0.91,25.73,53.08,84.35,319.53,281.28,0.65,22.21,18.17,81.83,6.159999999999999,31.439999999999998,37.94,0.16,3.71,24.51,1.5,60.849999999999994,2.7800000000000002,0.21,58.67,26.69,4253,612,1557.55,2.42,4.39,417630015,0.04437748763158877
2458 義隆,2012-09-28,2458,IC設計,5.25,4.28,4.72,5.66,5.65,42.17,42.04,18.87,18.59,39.21,-0.28,16.82,1021,23.17,13.02,0.31,9.35,15.9,15.9,15.9,2.54,0.51,5.16,0.97,0.98,15.9,44.1,90,90.57,467.45,275.45,139.86,301.32,292.07,16.82,13.719999999999999,3.58,7.94,18.27,75.39,397.84000000000003,309.08,0.01,26.259999999999998,20.8,79.2,0.13,9.19,9.05,0.25,1.6500000000000001,55.01,1.12,80.97,2.46,0.34,79.13,56.849999999999994,1994,376,805.9499999999999,3.39,3.19,21665039,0.48877581562406486
3006 晶豪科,2012-09-28,3006,IC設計,1.74,0.94,1.6,1.14,1.13,17.39,17.39,4.159999999999999,4.319999999999999,4.29,0.16,4.24,350,13.229999999999999,15.96,0.4,0.82,20.310000000000002,20.310000000000002,20.310000000000002,-0.9,0.67,5.62,0.23,0.24,20.31,25.97,128.85000000000002,128.85000000000002,190.76,412.26,431.47999999999996,402.57,889.03,0.69,-2.3299999999999996,1.27,14.639999999999999,222.62,344.57,502.51,346.06,0.01,20.79,17.21,82.79,0,2.23,2.32,0.22,2.4299999999999997,37.379999999999995,0.7899999999999999,115.33,3.3,0.27,69.88,82.83,4091,170,1247.6799999999998,1.22,1.27,6573571,0.5358910891089109
3014 聯陽,2012-09-28,3014,IC設計,2.45,1.3,1.92,1.57,1.56,41.220000000000006,41.220000000000006,7.859999999999999,8.34,19.04,0.49,6.33,606,33.36,11.92,0,23.82,19.16,19.16,19.16,1.28,0.39,4.65,0.37,0.39,19.16,3.18,33.17,33.17,1319.23,411.97999999999996,23.759999999999998,333.34000000000003,308.85,-32.02,-35.58,0.98,-1.79,-8.42,50.11,538.54,464.89,0,18.53,15.63,84.37,0,3.66,3.88,0.2,1.57,58.09,1.24,73.45,2.74,0.25,77.66,53.879999999999995,1582,124,569.7700000000001,1.36,1.43,5365362,0.20191765369430334
3034 聯詠,2012-09-28,3034,IC設計,4.18,3.43,3.66,5.89,5.89,28.67,28.67,13.92,14.4,30.36,0.48000000000000004,12.639999999999999,1658,14.75,14.34,0.17,12.23,37.51,37.51,37.51,6.56,3.63,16.89,2.35,2.45,37.51,14.08,29.51,29.51,41.839999999999996,39.68,8.05,39.86,39.86,3.29,5.95,0.98,19.4,23.08,71.35,208.96,182.5,0.9,67.63,40.34,59.66,27.17,23.610000000000003,24.43,0.27,0.99,91.75,2.01,45.339999999999996,6.55,0.47,71.41000000000001,65.67999999999999,6175,860,947.61,2.83,1.84,63972378,0.1439925198690976
3035 智原,2012-09-28,3035,IC設計,5.08,3.71,4.52,4.94,4.96,39.260000000000005,39.260000000000005,14.719999999999999,14.79,35.54,0.07,13.43,764,24.54,23.34,0.67,9.65,16.5,16.5,16.5,2.32,1.22,5.95,0.88,0.88,16.47,64.45,43.730000000000004,43.730000000000004,39.230000000000004,20.810000000000002,1864.54,569.05,501.08,16.6,6.48,4.7,20.73,8.67,60.27,281.88,242.9,0.02,32.13,24.32,75.68,0.18,8.75,8.8,0.28,1.6400000000000001,55.42,2.3299999999999996,39.06,3.12,0.37,54.74,39.74,3143,463,1003.16,2.78,2.44,18565922,-0.05026388539834129
3041 揚智,2012-09-28,3041,IC設計,3.85,2.69,3.08,3.43,3.41,46.97,46.97,17.3,19.43,54.75,2.13,15.360000000000001,547,29.66,-9.39,0,20.38,18.84,18.84,18.84,2.7600000000000002,-0.4,4.11,0.71,0.81,18.84,30.36,39.98,39.98,83.09,-24.630000000000003,29.610000000000003,-31.79,-33.220000000000006,10.93,5.59,-1.21,-5.359999999999999,-15.729999999999999,39.4,406.13,370.63,0.02,22.51,18.38,81.62,0,6.84,7.6899999999999995,0.17,2.24,40.68,1.8900000000000001,48.25,2.2,0.22,91.85,-2.9299999999999997,2234,387,1011.38,2.02,2.24,11338428,0.003012048192771154
3094 聯傑,2012-09-28,3094,IC設計,1.32,1.02,1.3,1.09,1.09,68.01,68.01,13.18,14.239999999999998,53.849999999999994,1.06,14.81,100,54.83,43.5,0,0,15.219999999999999,15.219999999999999,15.219999999999999,0.73,0.23,1.12,0.15,0.16,15.22,-10.950000000000001,2.7800000000000002,2.7800000000000002,-9.28,-53.55,125.55,-37.89,-36.64,-10.46,-3.59,-0.63,-7.95,-27.64,38,2177.3,2064.7599999999998,0.05,5.1,4.85,95.15,0,1.41,1.53,0.07,1.71,53.339999999999996,0.76,118.97,0.52,0.07,54.36,117.95,914,120,1733.6399999999999,1.23,4.49,1526673,0.2378246753246753
3257 虹冠電,2012-09-28,3257,IC設計,3.65,3.11,3.55,3.73,3.73,49.93,49.93,19.439999999999998,17.93,56.52,-1.5,17.93,138,30.49,14.91,2.11,0,19.279999999999998,19.279999999999998,19.279999999999998,2.88,0.44,3.94,0.77,0.71,19.28,5.6,6.55,6.55,26.58,-12.8,32.18,-4.78,-4.6499999999999995,0.05,6.44,-0.04,-1.1500000000000001,510.21,46.47,589.3299999999999,408.62,1.74,15.56,13.47,86.53,4.03,7.6499999999999995,7.06,0.17,1.11,81.69,0.48000000000000004,191.1,0.93,0.21,53.67,219.12,1105,215,1181.8,1.58,2.18,1179268,0.3045859000684462
3443 創意,2012-09-28,3443,IC設計,5.32,3.68,4.58,6.02,6,20.419999999999998,20.419999999999998,7.81,7.819999999999999,16.43,0.02,6.78,477,12.61,9.88,0.12,13.05,25.330000000000002,25.330000000000002,25.330000000000002,4.42,1.57,21.78,1.7,1.7,25.33,13.58,22.32,22.32,48.2,38.64,16.54,38.09,37.49,9.64,5.85,1.08,35.660000000000004,10.51,70.67999999999999,232.10999999999999,159.81,0.06,64.14,39.08,60.92,2.4899999999999998,17,17.04,0.54,2.12,42.949999999999996,1.8900000000000001,48.190000000000005,7.87,0.89,54.39,36.75,6118,478,785,4.6,1.71,15612282,-0.01184498519376853
3545 敦泰,2012-09-28,3545,IC設計,1.08,0.74,0.89,1.05,0.86,16.82,16.82,3.12,2.25,4.45,-0.8700000000000001,1.56,299,13.7,-73.03,0,15.2,18.04,18.04,18.04,0.46,-4.17,9.86,0.31,0.22,18.04,31.72,47.96,47.96,209.36,-7.98,-51.790000000000006,-11.58,-28.57,-0.88,-1.1400000000000001,-0.09,43.03,113.02,75.01,409.66,227.64,0,35.28,26.08,73.92,0,3.08,2.22,0.39,1.1500000000000001,79.35,0.92,98.69,34.449999999999996,0.55,64.11999999999999,113.93,4574,143,145.76,2.07,1.3,5177494,0.36719549641760496
